"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2007-2008","Non-Special Education","Student Enrollment","Number","-9999"
"Achievement First Bridgeport Academy District","","2007-2008","Special Education","Student Enrollment","Number","-9999"
"Achievement First Bridgeport Academy District","","2008-2009","Non-Special Education","Student Enrollment","Number","147"
"Achievement First Bridgeport Academy District","","2008-2009","Special Education","Student Enrollment","Number","13"
"Achievement First Bridgeport Academy District","","2009-2010","Non-Special Education","Student Enrollment","Number","219"
"Achievement First Bridgeport Academy District","","2009-2010","Special Education","Student Enrollment","Number","19"
"Achievement First Bridgeport Academy District","","2010-2011","Non-Special Education","Student Enrollment","Number","379"
"Achievement First Bridgeport Academy District","","2010-2011","Special Education","Student Enrollment","Number","30"
"Achievement First Bridgeport Academy District","","2011-2012","Non-Special Education","Student Enrollment","Number","495"
"Achievement First Bridgeport Academy District","","2011-2012","Special Education","Student Enrollment","Number","48"
"Achievement First Bridgeport Academy District","","2012-2013","Non-Special Education","Student Enrollment","Number","645"
"Achievement First Bridgeport Academy District","","2012-2013","Special Education","Student Enrollment","Number","57"
"Achievement First Bridgeport Academy District","","2013-2014","Non-Special Education","Student Enrollment","Number","777"
"Achievement First Bridgeport Academy District","","2013-2014","Special Education","Student Enrollment","Number","58"
"Achievement First Bridgeport Academy District","","2014-2015","Non-Special Education","Student Enrollment","Number","897"
"Achievement First Bridgeport Academy District","","2014-2015","Special Education","Student Enrollment","Number","80"
"Achievement First Bridgeport Academy District","","2015-2016","Non-Special Education","Student Enrollment","Number","922"
"Achievement First Bridgeport Academy District","","2015-2016","Special Education","Student Enrollment","Number","94"
"Achievement First Bridgeport Academy District","","2016-2017","Non-Special Education","Student Enrollment","Number","955"
"Achievement First Bridgeport Academy District","","2016-2017","Special Education","Student Enrollment","Number","89"
"Achievement First Bridgeport Academy District","","2017-2018","Non-Special Education","Student Enrollment","Number","958"
"Achievement First Bridgeport Academy District","","2017-2018","Special Education","Student Enrollment","Number","104"
"Achievement First Hartford Academy District","","2007-2008","Non-Special Education","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2007-2008","Special Education","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2008-2009","Non-Special Education","Student Enrollment","Number","245"
"Achievement First Hartford Academy District","","2008-2009","Special Education","Student Enrollment","Number","16"
"Achievement First Hartford Academy District","","2009-2010","Non-Special Education","Student Enrollment","Number","407"
"Achievement First Hartford Academy District","","2009-2010","Special Education","Student Enrollment","Number","33"
"Achievement First Hartford Academy District","","2010-2011","Non-Special Education","Student Enrollment","Number","563"
"Achievement First Hartford Academy District","","2010-2011","Special Education","Student Enrollment","Number","47"
"Achievement First Hartford Academy District","","2011-2012","Non-Special Education","Student Enrollment","Number","714"
"Achievement First Hartford Academy District","","2011-2012","Special Education","Student Enrollment","Number","48"
"Achievement First Hartford Academy District","","2012-2013","Non-Special Education","Student Enrollment","Number","760"
"Achievement First Hartford Academy District","","2012-2013","Special Education","Student Enrollment","Number","64"
"Achievement First Hartford Academy District","","2013-2014","Non-Special Education","Student Enrollment","Number","793"
"Achievement First Hartford Academy District","","2013-2014","Special Education","Student Enrollment","Number","77"
"Achievement First Hartford Academy District","","2014-2015","Non-Special Education","Student Enrollment","Number","863"
"Achievement First Hartford Academy District","","2014-2015","Special Education","Student Enrollment","Number","91"
"Achievement First Hartford Academy District","","2015-2016","Non-Special Education","Student Enrollment","Number","948"
"Achievement First Hartford Academy District","","2015-2016","Special Education","Student Enrollment","Number","115"
"Achievement First Hartford Academy District","","2016-2017","Non-Special Education","Student Enrollment","Number","955"
"Achievement First Hartford Academy District","","2016-2017","Special Education","Student Enrollment","Number","111"
"Achievement First Hartford Academy District","","2017-2018","Non-Special Education","Student Enrollment","Number","1024"
"Achievement First Hartford Academy District","","2017-2018","Special Education","Student Enrollment","Number","125"
"Amistad Academy District","","2007-2008","Non-Special Education","Student Enrollment","Number","530"
"Amistad Academy District","","2007-2008","Special Education","Student Enrollment","Number","17"
"Amistad Academy District","","2008-2009","Non-Special Education","Student Enrollment","Number","618"
"Amistad Academy District","","2008-2009","Special Education","Student Enrollment","Number","23"
"Amistad Academy District","","2009-2010","Non-Special Education","Student Enrollment","Number","717"
"Amistad Academy District","","2009-2010","Special Education","Student Enrollment","Number","27"
"Amistad Academy District","","2010-2011","Non-Special Education","Student Enrollment","Number","767"
"Amistad Academy District","","2010-2011","Special Education","Student Enrollment","Number","45"
"Amistad Academy District","","2011-2012","Non-Special Education","Student Enrollment","Number","806"
"Amistad Academy District","","2011-2012","Special Education","Student Enrollment","Number","51"
"Amistad Academy District","","2012-2013","Non-Special Education","Student Enrollment","Number","859"
"Amistad Academy District","","2012-2013","Special Education","Student Enrollment","Number","45"
"Amistad Academy District","","2013-2014","Non-Special Education","Student Enrollment","Number","886"
"Amistad Academy District","","2013-2014","Special Education","Student Enrollment","Number","51"
"Amistad Academy District","","2014-2015","Non-Special Education","Student Enrollment","Number","934"
"Amistad Academy District","","2014-2015","Special Education","Student Enrollment","Number","50"
"Amistad Academy District","","2015-2016","Non-Special Education","Student Enrollment","Number","979"
"Amistad Academy District","","2015-2016","Special Education","Student Enrollment","Number","57"
"Amistad Academy District","","2016-2017","Non-Special Education","Student Enrollment","Number","998"
"Amistad Academy District","","2016-2017","Special Education","Student Enrollment","Number","59"
"Amistad Academy District","","2017-2018","Non-Special Education","Student Enrollment","Number","1020"
"Amistad Academy District","","2017-2018","Special Education","Student Enrollment","Number","61"
"Andover School District","","2007-2008","Non-Special Education","Student Enrollment","Number","321"
"Andover School District","","2007-2008","Special Education","Student Enrollment","Number","26"
"Andover School District","","2008-2009","Non-Special Education","Student Enrollment","Number","304"
"Andover School District","","2008-2009","Special Education","Student Enrollment","Number","30"
"Andover School District","","2009-2010","Non-Special Education","Student Enrollment","Number","308"
"Andover School District","","2009-2010","Special Education","Student Enrollment","Number","28"
"Andover School District","","2010-2011","Non-Special Education","Student Enrollment","Number","306"
"Andover School District","","2010-2011","Special Education","Student Enrollment","Number","28"
"Andover School District","","2011-2012","Non-Special Education","Student Enrollment","Number","290"
"Andover School District","","2011-2012","Special Education","Student Enrollment","Number","24"
"Andover School District","","2012-2013","Non-Special Education","Student Enrollment","Number","290"
"Andover School District","","2012-2013","Special Education","Student Enrollment","Number","25"
"Andover School District","","2013-2014","Non-Special Education","Student Enrollment","Number","277"
"Andover School District","","2013-2014","Special Education","Student Enrollment","Number","22"
"Andover School District","","2014-2015","Non-Special Education","Student Enrollment","Number","255"
"Andover School District","","2014-2015","Special Education","Student Enrollment","Number","20"
"Andover School District","","2015-2016","Non-Special Education","Student Enrollment","Number","233"
"Andover School District","","2015-2016","Special Education","Student Enrollment","Number","17"
"Andover School District","","2016-2017","Non-Special Education","Student Enrollment","Number","215"
"Andover School District","","2016-2017","Special Education","Student Enrollment","Number","10"
"Andover School District","","2017-2018","Non-Special Education","Student Enrollment","Number","-9999"
"Andover School District","","2017-2018","Special Education","Student Enrollment","Number","-9999"
"Ansonia School District","900901220","2007-2008","Non-Special Education","Student Enrollment","Number","2454"
"Ansonia School District","900901220","2007-2008","Special Education","Student Enrollment","Number","289"
"Ansonia School District","900901220","2008-2009","Non-Special Education","Student Enrollment","Number","2443"
"Ansonia School District","900901220","2008-2009","Special Education","Student Enrollment","Number","279"
"Ansonia School District","900901220","2009-2010","Non-Special Education","Student Enrollment","Number","2470"
"Ansonia School District","900901220","2009-2010","Special Education","Student Enrollment","Number","268"
"Ansonia School District","900901220","2010-2011","Non-Special Education","Student Enrollment","Number","2348"
"Ansonia School District","900901220","2010-2011","Special Education","Student Enrollment","Number","279"
"Ansonia School District","900901220","2011-2012","Non-Special Education","Student Enrollment","Number","2244"
"Ansonia School District","900901220","2011-2012","Special Education","Student Enrollment","Number","282"
"Ansonia School District","900901220","2012-2013","Non-Special Education","Student Enrollment","Number","2132"
"Ansonia School District","900901220","2012-2013","Special Education","Student Enrollment","Number","293"
"Ansonia School District","900901220","2013-2014","Non-Special Education","Student Enrollment","Number","2020"
"Ansonia School District","900901220","2013-2014","Special Education","Student Enrollment","Number","318"
"Ansonia School District","900901220","2014-2015","Non-Special Education","Student Enrollment","Number","2021"
"Ansonia School District","900901220","2014-2015","Special Education","Student Enrollment","Number","394"
"Ansonia School District","900901220","2015-2016","Non-Special Education","Student Enrollment","Number","1954"
"Ansonia School District","900901220","2015-2016","Special Education","Student Enrollment","Number","428"
"Ansonia School District","900901220","2016-2017","Non-Special Education","Student Enrollment","Number","1905"
"Ansonia School District","900901220","2016-2017","Special Education","Student Enrollment","Number","459"
"Ansonia School District","900901220","2017-2018","Non-Special Education","Student Enrollment","Number","1847"
"Ansonia School District","900901220","2017-2018","Special Education","Student Enrollment","Number","457"
"Area Cooperative Educational Services","","2007-2008","Non-Special Education","Student Enrollment","Number","1347"
"Area Cooperative Educational Services","","2007-2008","Special Education","Student Enrollment","Number","751"
"Area Cooperative Educational Services","","2008-2009","Non-Special Education","Student Enrollment","Number","1352"
"Area Cooperative Educational Services","","2008-2009","Special Education","Student Enrollment","Number","746"
"Area Cooperative Educational Services","","2009-2010","Non-Special Education","Student Enrollment","Number","1344"
"Area Cooperative Educational Services","","2009-2010","Special Education","Student Enrollment","Number","732"
"Area Cooperative Educational Services","","2010-2011","Non-Special Education","Student Enrollment","Number","1264"
"Area Cooperative Educational Services","","2010-2011","Special Education","Student Enrollment","Number","727"
"Area Cooperative Educational Services","","2011-2012","Non-Special Education","Student Enrollment","Number","1253"
"Area Cooperative Educational Services","","2011-2012","Special Education","Student Enrollment","Number","702"
"Area Cooperative Educational Services","","2012-2013","Non-Special Education","Student Enrollment","Number","1233"
"Area Cooperative Educational Services","","2012-2013","Special Education","Student Enrollment","Number","699"
"Area Cooperative Educational Services","","2013-2014","Non-Special Education","Student Enrollment","Number","1199"
"Area Cooperative Educational Services","","2013-2014","Special Education","Student Enrollment","Number","734"
"Area Cooperative Educational Services","","2014-2015","Non-Special Education","Student Enrollment","Number","1192"
"Area Cooperative Educational Services","","2014-2015","Special Education","Student Enrollment","Number","747"
"Area Cooperative Educational Services","","2015-2016","Non-Special Education","Student Enrollment","Number","1206"
"Area Cooperative Educational Services","","2015-2016","Special Education","Student Enrollment","Number","742"
"Area Cooperative Educational Services","","2016-2017","Non-Special Education","Student Enrollment","Number","1228"
"Area Cooperative Educational Services","","2016-2017","Special Education","Student Enrollment","Number","719"
"Area Cooperative Educational Services","","2017-2018","Non-Special Education","Student Enrollment","Number","1196"
"Area Cooperative Educational Services","","2017-2018","Special Education","Student Enrollment","Number","746"
"Ashford School District","","2007-2008","Non-Special Education","Student Enrollment","Number","431"
"Ashford School District","","2007-2008","Special Education","Student Enrollment","Number","74"
"Ashford School District","","2008-2009","Non-Special Education","Student Enrollment","Number","417"
"Ashford School District","","2008-2009","Special Education","Student Enrollment","Number","71"
"Ashford School District","","2009-2010","Non-Special Education","Student Enrollment","Number","415"
"Ashford School District","","2009-2010","Special Education","Student Enrollment","Number","63"
"Ashford School District","","2010-2011","Non-Special Education","Student Enrollment","Number","420"
"Ashford School District","","2010-2011","Special Education","Student Enrollment","Number","59"
"Ashford School District","","2011-2012","Non-Special Education","Student Enrollment","Number","426"
"Ashford School District","","2011-2012","Special Education","Student Enrollment","Number","55"
"Ashford School District","","2012-2013","Non-Special Education","Student Enrollment","Number","384"
"Ashford School District","","2012-2013","Special Education","Student Enrollment","Number","56"
"Ashford School District","","2013-2014","Non-Special Education","Student Enrollment","Number","374"
"Ashford School District","","2013-2014","Special Education","Student Enrollment","Number","50"
"Ashford School District","","2014-2015","Non-Special Education","Student Enrollment","Number","367"
"Ashford School District","","2014-2015","Special Education","Student Enrollment","Number","50"
"Ashford School District","","2015-2016","Non-Special Education","Student Enrollment","Number","355"
"Ashford School District","","2015-2016","Special Education","Student Enrollment","Number","45"
"Ashford School District","","2016-2017","Non-Special Education","Student Enrollment","Number","357"
"Ashford School District","","2016-2017","Special Education","Student Enrollment","Number","50"
"Ashford School District","","2017-2018","Non-Special Education","Student Enrollment","Number","343"
"Ashford School District","","2017-2018","Special Education","Student Enrollment","Number","52"
"Avon School District","900302060","2007-2008","Non-Special Education","Student Enrollment","Number","3228"
"Avon School District","900302060","2007-2008","Special Education","Student Enrollment","Number","384"
"Avon School District","900302060","2008-2009","Non-Special Education","Student Enrollment","Number","3187"
"Avon School District","900302060","2008-2009","Special Education","Student Enrollment","Number","382"
"Avon School District","900302060","2009-2010","Non-Special Education","Student Enrollment","Number","3206"
"Avon School District","900302060","2009-2010","Special Education","Student Enrollment","Number","392"
"Avon School District","900302060","2010-2011","Non-Special Education","Student Enrollment","Number","3190"
"Avon School District","900302060","2010-2011","Special Education","Student Enrollment","Number","374"
"Avon School District","900302060","2011-2012","Non-Special Education","Student Enrollment","Number","3136"
"Avon School District","900302060","2011-2012","Special Education","Student Enrollment","Number","382"
"Avon School District","900302060","2012-2013","Non-Special Education","Student Enrollment","Number","3052"
"Avon School District","900302060","2012-2013","Special Education","Student Enrollment","Number","369"
"Avon School District","900302060","2013-2014","Non-Special Education","Student Enrollment","Number","3033"
"Avon School District","900302060","2013-2014","Special Education","Student Enrollment","Number","354"
"Avon School District","900302060","2014-2015","Non-Special Education","Student Enrollment","Number","3009"
"Avon School District","900302060","2014-2015","Special Education","Student Enrollment","Number","323"
"Avon School District","900302060","2015-2016","Non-Special Education","Student Enrollment","Number","2990"
"Avon School District","900302060","2015-2016","Special Education","Student Enrollment","Number","295"
"Avon School District","900302060","2016-2017","Non-Special Education","Student Enrollment","Number","2967"
"Avon School District","900302060","2016-2017","Special Education","Student Enrollment","Number","321"
"Avon School District","900302060","2017-2018","Non-Special Education","Student Enrollment","Number","2897"
"Avon School District","900302060","2017-2018","Special Education","Student Enrollment","Number","324"
"Barkhamsted School District","","2007-2008","Non-Special Education","Student Enrollment","Number","305"
"Barkhamsted School District","","2007-2008","Special Education","Student Enrollment","Number","53"
"Barkhamsted School District","","2008-2009","Non-Special Education","Student Enrollment","Number","309"
"Barkhamsted School District","","2008-2009","Special Education","Student Enrollment","Number","53"
"Barkhamsted School District","","2009-2010","Non-Special Education","Student Enrollment","Number","322"
"Barkhamsted School District","","2009-2010","Special Education","Student Enrollment","Number","45"
"Barkhamsted School District","","2010-2011","Non-Special Education","Student Enrollment","Number","323"
"Barkhamsted School District","","2010-2011","Special Education","Student Enrollment","Number","50"
"Barkhamsted School District","","2011-2012","Non-Special Education","Student Enrollment","Number","319"
"Barkhamsted School District","","2011-2012","Special Education","Student Enrollment","Number","38"
"Barkhamsted School District","","2012-2013","Non-Special Education","Student Enrollment","Number","306"
"Barkhamsted School District","","2012-2013","Special Education","Student Enrollment","Number","43"
"Barkhamsted School District","","2013-2014","Non-Special Education","Student Enrollment","Number","263"
"Barkhamsted School District","","2013-2014","Special Education","Student Enrollment","Number","44"
"Barkhamsted School District","","2014-2015","Non-Special Education","Student Enrollment","Number","268"
"Barkhamsted School District","","2014-2015","Special Education","Student Enrollment","Number","49"
"Barkhamsted School District","","2015-2016","Non-Special Education","Student Enrollment","Number","235"
"Barkhamsted School District","","2015-2016","Special Education","Student Enrollment","Number","51"
"Barkhamsted School District","","2016-2017","Non-Special Education","Student Enrollment","Number","201"
"Barkhamsted School District","","2016-2017","Special Education","Student Enrollment","Number","54"
"Barkhamsted School District","","2017-2018","Non-Special Education","Student Enrollment","Number","190"
"Barkhamsted School District","","2017-2018","Special Education","Student Enrollment","Number","58"
"Berlin School District","","2007-2008","Non-Special Education","Student Enrollment","Number","2853"
"Berlin School District","","2007-2008","Special Education","Student Enrollment","Number","422"
"Berlin School District","","2008-2009","Non-Special Education","Student Enrollment","Number","2818"
"Berlin School District","","2008-2009","Special Education","Student Enrollment","Number","405"
"Berlin School District","","2009-2010","Non-Special Education","Student Enrollment","Number","2816"
"Berlin School District","","2009-2010","Special Education","Student Enrollment","Number","353"
"Berlin School District","","2010-2011","Non-Special Education","Student Enrollment","Number","2809"
"Berlin School District","","2010-2011","Special Education","Student Enrollment","Number","320"
"Berlin School District","","2011-2012","Non-Special Education","Student Enrollment","Number","2726"
"Berlin School District","","2011-2012","Special Education","Student Enrollment","Number","301"
"Berlin School District","","2012-2013","Non-Special Education","Student Enrollment","Number","2674"
"Berlin School District","","2012-2013","Special Education","Student Enrollment","Number","311"
"Berlin School District","","2013-2014","Non-Special Education","Student Enrollment","Number","2649"
"Berlin School District","","2013-2014","Special Education","Student Enrollment","Number","314"
"Berlin School District","","2014-2015","Non-Special Education","Student Enrollment","Number","2585"
"Berlin School District","","2014-2015","Special Education","Student Enrollment","Number","324"
"Berlin School District","","2015-2016","Non-Special Education","Student Enrollment","Number","2537"
"Berlin School District","","2015-2016","Special Education","Student Enrollment","Number","342"
"Berlin School District","","2016-2017","Non-Special Education","Student Enrollment","Number","2443"
"Berlin School District","","2016-2017","Special Education","Student Enrollment","Number","362"
"Berlin School District","","2017-2018","Non-Special Education","Student Enrollment","Number","2417"
"Berlin School District","","2017-2018","Special Education","Student Enrollment","Number","378"
"Bethany School District","","2007-2008","Non-Special Education","Student Enrollment","Number","495"
"Bethany School District","","2007-2008","Special Education","Student Enrollment","Number","75"
"Bethany School District","","2008-2009","Non-Special Education","Student Enrollment","Number","471"
"Bethany School District","","2008-2009","Special Education","Student Enrollment","Number","80"
"Bethany School District","","2009-2010","Non-Special Education","Student Enrollment","Number","435"
"Bethany School District","","2009-2010","Special Education","Student Enrollment","Number","81"
"Bethany School District","","2010-2011","Non-Special Education","Student Enrollment","Number","443"
"Bethany School District","","2010-2011","Special Education","Student Enrollment","Number","71"
"Bethany School District","","2011-2012","Non-Special Education","Student Enrollment","Number","426"
"Bethany School District","","2011-2012","Special Education","Student Enrollment","Number","66"
"Bethany School District","","2012-2013","Non-Special Education","Student Enrollment","Number","416"
"Bethany School District","","2012-2013","Special Education","Student Enrollment","Number","57"
"Bethany School District","","2013-2014","Non-Special Education","Student Enrollment","Number","379"
"Bethany School District","","2013-2014","Special Education","Student Enrollment","Number","57"
"Bethany School District","","2014-2015","Non-Special Education","Student Enrollment","Number","344"
"Bethany School District","","2014-2015","Special Education","Student Enrollment","Number","63"
"Bethany School District","","2015-2016","Non-Special Education","Student Enrollment","Number","332"
"Bethany School District","","2015-2016","Special Education","Student Enrollment","Number","51"
"Bethany School District","","2016-2017","Non-Special Education","Student Enrollment","Number","301"
"Bethany School District","","2016-2017","Special Education","Student Enrollment","Number","55"
"Bethany School District","","2017-2018","Non-Special Education","Student Enrollment","Number","311"
"Bethany School District","","2017-2018","Special Education","Student Enrollment","Number","54"
"Bethel School District","900104720","2007-2008","Non-Special Education","Student Enrollment","Number","2831"
"Bethel School District","900104720","2007-2008","Special Education","Student Enrollment","Number","326"
"Bethel School District","900104720","2008-2009","Non-Special Education","Student Enrollment","Number","2753"
"Bethel School District","900104720","2008-2009","Special Education","Student Enrollment","Number","334"
"Bethel School District","900104720","2009-2010","Non-Special Education","Student Enrollment","Number","2703"
"Bethel School District","900104720","2009-2010","Special Education","Student Enrollment","Number","350"
"Bethel School District","900104720","2010-2011","Non-Special Education","Student Enrollment","Number","2620"
"Bethel School District","900104720","2010-2011","Special Education","Student Enrollment","Number","329"
"Bethel School District","900104720","2011-2012","Non-Special Education","Student Enrollment","Number","2659"
"Bethel School District","900104720","2011-2012","Special Education","Student Enrollment","Number","323"
"Bethel School District","900104720","2012-2013","Non-Special Education","Student Enrollment","Number","2656"
"Bethel School District","900104720","2012-2013","Special Education","Student Enrollment","Number","331"
"Bethel School District","900104720","2013-2014","Non-Special Education","Student Enrollment","Number","2675"
"Bethel School District","900104720","2013-2014","Special Education","Student Enrollment","Number","325"
"Bethel School District","900104720","2014-2015","Non-Special Education","Student Enrollment","Number","2614"
"Bethel School District","900104720","2014-2015","Special Education","Student Enrollment","Number","325"
"Bethel School District","900104720","2015-2016","Non-Special Education","Student Enrollment","Number","2647"
"Bethel School District","900104720","2015-2016","Special Education","Student Enrollment","Number","324"
"Bethel School District","900104720","2016-2017","Non-Special Education","Student Enrollment","Number","2641"
"Bethel School District","900104720","2016-2017","Special Education","Student Enrollment","Number","355"
"Bethel School District","900104720","2017-2018","Non-Special Education","Student Enrollment","Number","2681"
"Bethel School District","900104720","2017-2018","Special Education","Student Enrollment","Number","378"
"Bloomfield School District","900305910","2007-2008","Non-Special Education","Student Enrollment","Number","2013"
"Bloomfield School District","900305910","2007-2008","Special Education","Student Enrollment","Number","227"
"Bloomfield School District","900305910","2008-2009","Non-Special Education","Student Enrollment","Number","1946"
"Bloomfield School District","900305910","2008-2009","Special Education","Student Enrollment","Number","235"
"Bloomfield School District","900305910","2009-2010","Non-Special Education","Student Enrollment","Number","2074"
"Bloomfield School District","900305910","2009-2010","Special Education","Student Enrollment","Number","224"
"Bloomfield School District","900305910","2010-2011","Non-Special Education","Student Enrollment","Number","1979"
"Bloomfield School District","900305910","2010-2011","Special Education","Student Enrollment","Number","228"
"Bloomfield School District","900305910","2011-2012","Non-Special Education","Student Enrollment","Number","1917"
"Bloomfield School District","900305910","2011-2012","Special Education","Student Enrollment","Number","247"
"Bloomfield School District","900305910","2012-2013","Non-Special Education","Student Enrollment","Number","1888"
"Bloomfield School District","900305910","2012-2013","Special Education","Student Enrollment","Number","231"
"Bloomfield School District","900305910","2013-2014","Non-Special Education","Student Enrollment","Number","1853"
"Bloomfield School District","900305910","2013-2014","Special Education","Student Enrollment","Number","243"
"Bloomfield School District","900305910","2014-2015","Non-Special Education","Student Enrollment","Number","1831"
"Bloomfield School District","900305910","2014-2015","Special Education","Student Enrollment","Number","284"
"Bloomfield School District","900305910","2015-2016","Non-Special Education","Student Enrollment","Number","1779"
"Bloomfield School District","900305910","2015-2016","Special Education","Student Enrollment","Number","299"
"Bloomfield School District","900305910","2016-2017","Non-Special Education","Student Enrollment","Number","1840"
"Bloomfield School District","900305910","2016-2017","Special Education","Student Enrollment","Number","317"
"Bloomfield School District","900305910","2017-2018","Non-Special Education","Student Enrollment","Number","1798"
"Bloomfield School District","900305910","2017-2018","Special Education","Student Enrollment","Number","351"
"Bolton School District","901306260","2007-2008","Non-Special Education","Student Enrollment","Number","790"
"Bolton School District","901306260","2007-2008","Special Education","Student Enrollment","Number","86"
"Bolton School District","901306260","2008-2009","Non-Special Education","Student Enrollment","Number","789"
"Bolton School District","901306260","2008-2009","Special Education","Student Enrollment","Number","80"
"Bolton School District","901306260","2009-2010","Non-Special Education","Student Enrollment","Number","803"
"Bolton School District","901306260","2009-2010","Special Education","Student Enrollment","Number","85"
"Bolton School District","901306260","2010-2011","Non-Special Education","Student Enrollment","Number","816"
"Bolton School District","901306260","2010-2011","Special Education","Student Enrollment","Number","88"
"Bolton School District","901306260","2011-2012","Non-Special Education","Student Enrollment","Number","802"
"Bolton School District","901306260","2011-2012","Special Education","Student Enrollment","Number","95"
"Bolton School District","901306260","2012-2013","Non-Special Education","Student Enrollment","Number","803"
"Bolton School District","901306260","2012-2013","Special Education","Student Enrollment","Number","94"
"Bolton School District","901306260","2013-2014","Non-Special Education","Student Enrollment","Number","780"
"Bolton School District","901306260","2013-2014","Special Education","Student Enrollment","Number","89"
"Bolton School District","901306260","2014-2015","Non-Special Education","Student Enrollment","Number","749"
"Bolton School District","901306260","2014-2015","Special Education","Student Enrollment","Number","98"
"Bolton School District","901306260","2015-2016","Non-Special Education","Student Enrollment","Number","724"
"Bolton School District","901306260","2015-2016","Special Education","Student Enrollment","Number","96"
"Bolton School District","901306260","2016-2017","Non-Special Education","Student Enrollment","Number","726"
"Bolton School District","901306260","2016-2017","Special Education","Student Enrollment","Number","94"
"Bolton School District","901306260","2017-2018","Non-Special Education","Student Enrollment","Number","714"
"Bolton School District","901306260","2017-2018","Special Education","Student Enrollment","Number","98"
"Booker T Washington Academy District","","2007-2008","Non-Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2007-2008","Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2008-2009","Non-Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2008-2009","Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2009-2010","Non-Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2009-2010","Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2010-2011","Non-Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2010-2011","Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2011-2012","Non-Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2011-2012","Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2012-2013","Non-Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2012-2013","Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2013-2014","Non-Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2013-2014","Special Education","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2014-2015","Non-Special Education","Student Enrollment","Number","-9999"
"Booker T Washington Academy District","","2014-2015","Special Education","Student Enrollment","Number","-9999"
"Booker T Washington Academy District","","2015-2016","Non-Special Education","Student Enrollment","Number","169"
"Booker T Washington Academy District","","2015-2016","Special Education","Student Enrollment","Number","11"
"Booker T Washington Academy District","","2016-2017","Non-Special Education","Student Enrollment","Number","227"
"Booker T Washington Academy District","","2016-2017","Special Education","Student Enrollment","Number","14"
"Booker T Washington Academy District","","2017-2018","Non-Special Education","Student Enrollment","Number","284"
"Booker T Washington Academy District","","2017-2018","Special Education","Student Enrollment","Number","16"
"Bozrah School District","","2007-2008","Non-Special Education","Student Enrollment","Number","224"
"Bozrah School District","","2007-2008","Special Education","Student Enrollment","Number","45"
"Bozrah School District","","2008-2009","Non-Special Education","Student Enrollment","Number","227"
"Bozrah School District","","2008-2009","Special Education","Student Enrollment","Number","34"
"Bozrah School District","","2009-2010","Non-Special Education","Student Enrollment","Number","217"
"Bozrah School District","","2009-2010","Special Education","Student Enrollment","Number","41"
"Bozrah School District","","2010-2011","Non-Special Education","Student Enrollment","Number","202"
"Bozrah School District","","2010-2011","Special Education","Student Enrollment","Number","34"
"Bozrah School District","","2011-2012","Non-Special Education","Student Enrollment","Number","204"
"Bozrah School District","","2011-2012","Special Education","Student Enrollment","Number","32"
"Bozrah School District","","2012-2013","Non-Special Education","Student Enrollment","Number","214"
"Bozrah School District","","2012-2013","Special Education","Student Enrollment","Number","29"
"Bozrah School District","","2013-2014","Non-Special Education","Student Enrollment","Number","214"
"Bozrah School District","","2013-2014","Special Education","Student Enrollment","Number","30"
"Bozrah School District","","2014-2015","Non-Special Education","Student Enrollment","Number","185"
"Bozrah School District","","2014-2015","Special Education","Student Enrollment","Number","26"
"Bozrah School District","","2015-2016","Non-Special Education","Student Enrollment","Number","177"
"Bozrah School District","","2015-2016","Special Education","Student Enrollment","Number","25"
"Bozrah School District","","2016-2017","Non-Special Education","Student Enrollment","Number","186"
"Bozrah School District","","2016-2017","Special Education","Student Enrollment","Number","22"
"Bozrah School District","","2017-2018","Non-Special Education","Student Enrollment","Number","181"
"Bozrah School District","","2017-2018","Special Education","Student Enrollment","Number","23"
"Branford School District","900907310","2007-2008","Non-Special Education","Student Enrollment","Number","3042"
"Branford School District","900907310","2007-2008","Special Education","Student Enrollment","Number","472"
"Branford School District","900907310","2008-2009","Non-Special Education","Student Enrollment","Number","3062"
"Branford School District","900907310","2008-2009","Special Education","Student Enrollment","Number","453"
"Branford School District","900907310","2009-2010","Non-Special Education","Student Enrollment","Number","3064"
"Branford School District","900907310","2009-2010","Special Education","Student Enrollment","Number","470"
"Branford School District","900907310","2010-2011","Non-Special Education","Student Enrollment","Number","2974"
