"Student Counts by District and Special Education Status"
"All Districts"
"Trend"

"",,"Special Education Status",,
"District","District Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",6248,602,6850
"Amistad Academy District","=""2790013""",8094,425,8519
"Andover School District","=""0010011""",2799,230,3029
"Ansonia School District","=""0020011""",21991,3289,25280
"Area Cooperative Educational Services","=""2440014""",12618,7299,19917
"Ashford School District","=""0030011""",3946,573,4519
"Avon School District","=""0040011""",30998,3576,34574
"Barkhamsted School District","=""0050011""",2851,480,3331
"Berlin School District","=""0070011""",26910,3454,30364
"Bethany School District","=""0080011""",4042,656,4698
"Bethel School District","=""0090011""",26799,3322,30121
"Bloomfield School District","=""0110011""",19120,2535,21655
"Bolton School District","=""0120011""",7782,905,8687
"Booker T. Washington Academy District","=""2950013""",484,28,512
"Bozrah School District","=""0130011""",2050,318,2368
"Branford School District","=""0140011""",28610,4423,33033
"Brass City Charter School District","=""2900013""",626,44,670
"Bridgeport Achievement First District","=""2850013""",5520,489,6009
"Bridgeport School District","=""0150011""",179217,28392,207609
"Bristol School District","=""0170011""",71912,12985,84897
"Brookfield School District","=""0180011""",25407,2773,28180
"Brooklyn School District","=""0190011""",8296,1117,9413
"Canaan School District","=""0210011""",716,117,833
"Canterbury School District","=""0220011""",4641,557,5198
"Canton School District","=""0230011""",15371,1787,17158
"Capital Preparatory Harbor School Inc. District","=""2970013""",450,53,503
"Capitol Region Education Council","=""2410014""",49578,9348,58926
"Chaplin School District","=""0240011""",1587,223,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""",518,28,546
"Cheshire School District","=""0250011""",42381,5016,47397
"Chester School District","=""0260011""",2221,389,2610
"Clinton School District","=""0270011""",17415,2335,19750
"Colchester School District","=""0280011""",25394,3767,29161
"Colebrook School District","=""0290011""",864,161,1025
"Columbia School District","=""0300011""",4571,567,5138
"Common Ground High School District","=""2680013""",1440,270,1710
"Connecticut Technical High School System","=""9000016""",96927,8476,105403
"Cooperative Educational Services","=""2430014""",4795,3232,8027
"Cornwall School District","=""0310011""",905,152,1057
"Coventry School District","=""0320011""",15630,2246,17876
"Cromwell School District","=""0330011""",17914,2153,20067
"Danbury School District","=""0340011""",95411,12332,107743
"Darien School District","=""0350011""",42509,5817,48326
"Deep River School District","=""0360011""",2957,441,3398
"Department of Mental Health and Addiction Services","=""3370015""","*","*",60
"Derby School District","=""0370011""",12912,1729,14641
"East Granby School District","=""0400011""",7834,996,8830
"East Haddam School District","=""0410011""",10881,1740,12621
"East Hampton School District","=""0420011""",17797,1697,19494
"East Hartford School District","=""0430011""",59964,11245,71209
"East Haven School District","=""0440011""",28746,4269,33015
"East Lyme School District","=""0450011""",25970,3870,29840
"East Windsor School District","=""0470011""",10768,2002,12770
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",1873,1070,2943
"Eastford School District","=""0390011""",1380,260,1640
"Easton School District","=""0460011""",9395,940,10335
"EdAdvance","=""2420014""","*","*",219
"Education Connection","=""2420014""",1678,288,1966
"Ellington School District","=""0480011""",23837,2907,26744
"Elm City College Preparatory School","=""2810013""",936,49,985
"Elm City College Preparatory School District","=""2890013""",4718,306,5024
"Elm City Montessori School District","=""2910013""","*","*",323
"Enfield School District","=""0490011""",48886,7822,56708
"Essex School District","=""0500011""",4477,699,5176
"Explorations District","=""2720013""",584,249,833
"Fairfield School District","=""0510011""",90209,11185,101394
"Farmington School District","=""0520011""",36630,4475,41105
"Franklin School District","=""0530011""",1751,257,2008
"Glastonbury School District","=""0540011""",58750,6652,65402
"Granby School District","=""0560011""",19333,1993,21326
"Great Oaks Charter School District","=""2940013""",566,111,677
"Greenwich School District","=""0570011""",79235,9496,88731
"Griswold School District","=""0580011""",17190,2726,19916
"Groton School District","=""0590011""",41460,7018,48478
"Guilford School District","=""0600011""",32224,3929,36153
"Hamden School District","=""0620011""",50507,8227,58734
"Hampton School District","=""0630011""",1072,190,1262
"Hartford School District","=""0640011""",183527,33414,216941
"Hartland School District","=""0650011""",1917,239,2156
"Hebron School District","=""0670011""",8557,1208,9765
"Highville Charter School District","=""2860013""",3471,115,3586
"Integrated Day Charter School District","=""2640013""",3027,276,3303
"Interdistrict School for Arts and Comm District","=""2650013""",1846,312,2158
"Jumoke Academy District","=""2610013""",5357,274,5631
"Kent School District","=""0680011""",2314,347,2661
"Killingly School District","=""0690011""",22801,3890,26691
"Learn","=""2450014""",14627,2346,16973
"Lebanon School District","=""0710011""",11090,1724,12814
"Ledyard School District","=""0720011""",22459,3711,26170
"Lisbon School District","=""0730011""",4155,619,4774
"Litchfield School District","=""0740011""",9647,1219,10866
"Madison School District","=""0760011""",30366,3786,34152
"Manchester School District","=""0770011""",56236,9201,65437
"Mansfield School District","=""0780011""",11223,1584,12807
"Marlborough School District","=""0790011""",5734,556,6290
"Meriden School District","=""0800011""",70046,13278,83324
"Middletown School District","=""0830011""",43711,6153,49864
"Milford School District","=""0840011""",58754,8403,67157
"Monroe School District","=""0850011""",32307,3753,36060
"Montville School District","=""0860011""",22215,3078,25293
"Naugatuck School District","=""0880011""",39456,6098,45554
"New Beginnings Inc Family Academy District","=""""",462,37,499
"New Beginnings Inc., Family Academy District","=""2800013""",3337,237,3574
"New Britain School District","=""0890011""",86479,16318,102797
"New Canaan School District","=""0900011""",37349,4407,41756
"New Fairfield School District","=""0910011""",25034,2987,28021
"New Hartford School District","=""0920011""",4961,634,5595
"New Haven School District","=""0930011""",184661,24040,208701
"New London School District","=""0950011""",26331,5246,31577
"New Milford School District","=""0960011""",39974,6274,46248
"Newington School District","=""0940011""",37965,5294,43259
"Newtown School District","=""0970011""",46740,4729,51469
"Norfolk School District","=""0980011""",1096,210,1306
"North Branford School District","=""0990011""",18630,2839,21469
"North Canaan School District","=""1000011""",2669,410,3079
"North Haven School District","=""1010011""",31377,3873,35250
"North Stonington School District","=""1020011""",6931,752,7683
"Norwalk School District","=""1030011""",98610,12784,111394
"Norwich Free Academy District","=""9010022""",20579,3000,23579
"Norwich School District","=""1040011""",32109,6465,38574
"Odyssey Community School District","=""2630013""",2422,241,2663
"Old Saybrook School District","=""1060011""",13075,1960,15035
"Orange School District","=""1070011""",11371,1150,12521
"Oxford School District","=""1080011""",18571,1893,20464
"Park City Prep Charter School District","=""2830013""",2552,218,2770
"Path Academy District","=""2930013""",333,99,432
"Plainfield School District","=""1090011""",22225,3196,25421
"Plainville School District","=""1100011""",21163,3373,24536
"Plymouth School District","=""1110011""",14431,2333,16764
"Pomfret School District","=""1120011""",4127,584,4711
"Portland School District","=""1130011""",12551,1328,13879
"Preston School District","=""1140011""",3732,700,4432
"Putnam School District","=""1160011""",10478,2072,12550
"Redding School District","=""1170011""",9944,1479,11423
"Regional School District 01","=""2010012""",4102,654,4756
"Regional School District 04","=""2040012""",8358,1320,9678
"Regional School District 05","=""2050012""",21367,2644,24011
"Regional School District 06","=""2060012""",8956,1394,10350
"Regional School District 07","=""2070012""",9994,1437,11431
"Regional School District 08","=""2080012""",14997,2092,17089
"Regional School District 09","=""2090012""",8915,1188,10103
"Regional School District 10","=""2100012""",23772,2709,26481
"Regional School District 11","=""2110012""",2301,565,2866
"Regional School District 12","=""2120012""",7443,1265,8708
"Regional School District 13","=""2130012""",16782,2827,19609
"Regional School District 14","=""2140012""",17495,2300,19795
"Regional School District 15","=""2150012""",36432,5434,41866
"Regional School District 16","=""2160012""",21628,2899,24527
"Regional School District 17","=""2170012""",20277,3252,23529
"Regional School District 18","=""2180012""",12677,1638,14315
"Regional School District 19","=""2190012""",10131,1938,12069
"Ridgefield School District","=""1180011""",48321,4865,53186
"Rocky Hill School District","=""1190011""",23147,2494,25641
"Salem School District","=""1210011""",3988,498,4486
"Salisbury School District","=""1220011""",2636,339,2975
"Scotland School District","=""1230011""",1207,233,1440
"Seymour School District","=""1240011""",21165,2471,23636
"Sharon School District","=""1250011""",1483,377,1860
"Shelton School District","=""1260011""",46282,5787,52069
"Sherman School District","=""1270011""",3362,568,3930
"Side By Side Charter School District","=""2700013""",2162,169,2331
"Simsbury School District","=""1280011""",40279,5589,45868
"Somers School District","=""1290011""",14141,1691,15832
"South Windsor School District","=""1320011""",38963,5706,44669
"Southington School District","=""1310011""",59436,8028,67464
"Sprague School District","=""1330011""",3238,383,3621
"Stafford School District","=""1340011""",15575,1826,17401
"Stamford Academy District","=""2820013""",1108,284,1392
"Stamford Charter School for Excellence District","=""2960013""",363,18,381
"Stamford School District","=""1350011""",139847,16078,155925
"Sterling School District","=""1360011""",4296,548,4844
"Stonington School District","=""1370011""",20722,3074,23796
"Stratford School District","=""1380011""",64475,7623,72098
"Suffield School District","=""1390011""",21955,2733,24688
"The Bridge Academy District","=""2690013""",2353,367,2720
"The Gilbert School District","=""9020022""",4116,649,4765
"Thomaston School District","=""1400011""",8984,1565,10549
"Thompson School District","=""1410011""",10688,1314,12002
"Tolland School District","=""1420011""",25624,3246,28870
"Torrington School District","=""1430011""",37269,7857,45126
"Trailblazers Academy District","=""2780013""",1116,384,1500
"Trumbull School District","=""1440011""",62276,6437,68713
"Unified School District #1","=""3360015""",4190,2916,7106
"Unified School District #2","=""3470015""",594,2013,2607
"Union School District","=""1450011""",682,82,764
"Vernon School District","=""1460011""",30275,4496,34771
"Voluntown School District","=""1470011""",2720,384,3104
"Wallingford School District","=""1480011""",56160,7692,63852
"Waterbury School District","=""1510011""",154580,30813,185393
"Waterford School District","=""1520011""",23751,3362,27113
"Watertown School District","=""1530011""",27149,3578,30727
"West Hartford School District","=""1550011""",88457,11683,100140
"West Haven School District","=""1560011""",52888,8272,61160
"Westbrook School District","=""1540011""",7952,929,8881
"Weston School District","=""1570011""",22561,2263,24824
