"Student Counts by District and Special Education Status"
"All Districts"
"Trend"

"",,"Special Education Status",,
"Westport School District","=""1580011""",51541,5949,57490
"Wethersfield School District","=""1590011""",32871,4486,37357
"Willington School District","=""1600011""",4209,745,4954
"Wilton School District","=""1610011""",37860,5088,42948
"Winchester School District","=""1620011""",6270,1565,7835
"Windham School District","=""1630011""",28038,5640,33678
"Windsor Locks School District","=""1650011""",15260,2140,17400
"Windsor School District","=""1640011""",30145,5248,35393
"Wolcott School District","=""1660011""",23442,2597,26039
"Woodbridge School District","=""1670011""",6914,691,7605
"Woodstock Academy District","=""9030022""",10296,575,10871
"Woodstock School District","=""1690011""",8139,869,9008
"Total","=""""",4862859,705439,5568298

