"Student Counts by District and Year"
"All Districts"
"Trend"

"",,"Year",,,,,,,,,
"Norfolk School District","=""0980011""",168,157,144,141,124,121,117,116,116,1204
"North Branford School District","=""0990011""",2434,2401,2342,2293,2187,2094,2018,1969,1889,19627
"North Canaan School District","=""1000011""",359,338,328,318,308,315,295,280,260,2801
"North Haven School District","=""1010011""",3897,3836,3712,3624,3580,3537,3402,3312,3188,32088
"North Stonington School District","=""1020011""",805,794,792,796,781,764,751,741,728,6952
"Norwalk School District","=""1030011""",10729,10842,10962,11143,11183,11148,11169,11311,11409,99896
"Norwich Free Academy District","=""9010022""",2449,2488,2421,2381,2315,2264,2324,2317,2282,21241
"Norwich School District","=""1040011""",4070,4004,3946,3877,3883,3869,3804,3764,3705,34922
"Odyssey Community School District","=""2630013""",177,178,180,181,314,324,325,328,328,2335
"Old Saybrook School District","=""1060011""",1621,1628,1599,1577,1571,1505,1446,1425,1346,13718
"Orange School District","=""1070011""",1377,1320,1301,1284,1273,1248,1192,1180,1179,11354
"Oxford School District","=""1080011""",1861,2027,2163,2205,2147,2103,2053,1979,1974,18512
"Park City Prep Charter School District","=""2830013""",206,224,242,250,257,251,260,360,360,2410
"Path Academy District","=""2930013""",0,0,0,0,0,0,0,132,143,275
"Plainfield School District","=""1090011""",2784,2720,2737,2645,2593,2507,2462,2351,2330,23129
"Plainville School District","=""1100011""",2629,2542,2554,2486,2424,2376,2338,2412,2409,22170
"Plymouth School District","=""1110011""",1913,1864,1799,1745,1665,1619,1577,1556,1522,15260
"Pomfret School District","=""1120011""",543,545,539,518,475,476,426,410,402,4334
"Portland School District","=""1130011""",1433,1432,1439,1408,1372,1382,1382,1334,1360,12542
"Preston School District","=""1140011""",509,494,438,438,404,415,433,426,445,4002
"Putnam School District","=""1160011""",1319,1254,1239,1301,1264,1273,1265,1252,1195,11362
"Redding School District","=""1170011""",1309,1304,1269,1246,1210,1133,1060,1001,954,10486
"Regional School District 01","=""2010012""",570,563,516,506,467,424,432,406,446,4330
"Regional School District 04","=""2040012""",961,959,981,983,963,994,983,974,928,8726
"Regional School District 05","=""2050012""",2483,2504,2498,2495,2444,2369,2372,2328,2270,21763
"Regional School District 06","=""2060012""",1130,1084,1076,1053,1045,1034,996,971,986,9375
"Regional School District 07","=""2070012""",1155,1197,1172,1179,1163,1146,1139,1076,1100,10327
"Regional School District 08","=""2080012""",1676,1759,1743,1780,1792,1776,1743,1661,1601,15531
"Regional School District 09","=""2090012""",979,967,973,985,1022,1032,1082,1065,1028,9133
"Regional School District 10","=""2100012""",2855,2862,2831,2773,2679,2638,2577,2484,2416,24115
"Regional School District 11","=""2110012""",299,318,300,282,300,290,295,278,253,2615
"Regional School District 12","=""2120012""",1062,1014,973,933,889,843,800,752,732,7998
"Regional School District 13","=""2130012""",2156,2143,2094,2052,2001,1960,1875,1832,1751,17864
"Regional School District 14","=""2140012""",2215,2142,2129,2104,2018,1943,1905,1803,1768,18027
"Regional School District 15","=""2150012""",4583,4559,4558,4440,4241,4093,4002,3868,3793,38137
"Regional School District 16","=""2160012""",2691,2618,2594,2546,2487,2429,2352,2329,2270,22316
"Regional School District 17","=""2170012""",2562,2547,2503,2485,2395,2320,2281,2186,2133,21412
"Regional School District 18","=""2180012""",1538,1470,1490,1499,1456,1450,1411,1354,1339,13007
"Regional School District 19","=""2190012""",1191,1181,1201,1197,1238,1235,1205,1204,1213,10865
"Ridgefield School District","=""1180011""",5560,5551,5456,5437,5379,5296,5293,5178,5052,48202
"Rocky Hill School District","=""1190011""",2622,2625,2649,2593,2539,2470,2425,2487,2610,23020
"Salem School District","=""1210011""",506,523,494,463,445,428,435,399,384,4077
"Salisbury School District","=""1220011""",307,319,311,310,311,310,280,273,274,2695
"Scotland School District","=""1230011""",190,190,161,143,132,127,133,129,119,1324
"Seymour School District","=""1240011""",2619,2582,2442,2424,2310,2294,2306,2286,2215,21478
"Sharon School District","=""1250011""",219,196,205,197,191,188,177,177,160,1710
"Shelton School District","=""1260011""",5670,5570,5480,5305,5245,5130,4982,4947,4925,47254
"Sherman School District","=""1270011""",459,460,446,409,398,384,373,349,337,3615
"Side By Side Charter School District","=""2700013""",230,229,232,233,232,233,235,235,236,2095
"Simsbury School District","=""1280011""",4973,4950,4886,4781,4690,4553,4377,4307,4190,41707
"Somers School District","=""1290011""",1734,1729,1660,1640,1622,1586,1515,1480,1435,14401
"South Windsor School District","=""1320011""",4972,4839,4696,4599,4395,4321,4287,4216,4156,40481
"Southington School District","=""1310011""",6947,6866,6839,6832,6745,6740,6704,6626,6583,60882
"Sprague School District","=""1330011""",356,355,352,373,380,373,365,366,362,3282
"Stafford School District","=""1340011""",1917,1918,1854,1865,1830,1727,1634,1586,1544,15875
"Stamford Academy District","=""2820013""",131,131,131,137,138,138,147,141,150,1244
"Stamford Charter School for Excellence District","=""2960013""",0,0,0,0,0,0,0,0,164,164
"Stamford School District","=""1350011""",14982,14956,15134,15390,15571,15834,15927,16085,15946,139825
"Sterling School District","=""1360011""",504,513,508,486,494,502,485,467,454,4413
"Stonington School District","=""1370011""",2549,2526,2538,2515,2430,2369,2320,2267,2174,21688
"Stratford School District","=""1380011""",7440,7367,7381,7338,7300,7239,7216,7060,6901,65242
"Suffield School District","=""1390011""",2594,2579,2570,2520,2503,2457,2429,2397,2358,22407
"The Bridge Academy District","=""2690013""",260,262,263,271,276,276,277,275,279,2439
"The Gilbert School District","=""9020022""",408,400,381,325,542,505,537,552,553,4203
"Thomaston School District","=""1400011""",1272,1229,1178,1129,1064,1017,950,912,900,9651
"Thompson School District","=""1410011""",1488,1406,1342,1277,1202,1167,1079,1016,1007,10984
"Tolland School District","=""1420011""",3143,3159,3168,3074,2976,2857,2732,2677,2600,26386
"Torrington School District","=""1430011""",4868,4758,4746,4620,4565,4446,4353,4303,4266,40925
"Trailblazers Academy District","=""2780013""",150,150,165,162,170,168,162,119,125,1371
"Trumbull School District","=""1440011""",6918,6956,7039,6992,6959,6937,6824,6716,6687,62028
"Unified School District #1","=""3360015""",1195,1018,990,816,744,641,539,410,390,6743
"Unified School District #2","=""3470015""",375,336,330,305,262,227,228,215,173,2451
"Union School District","=""1450011""",73,79,"*",82,74,"*",78,80,80,696
"Vernon School District","=""1460011""",3722,3606,3701,3615,3590,3477,3350,3282,3204,31547
"Voluntown School District","=""1470011""",315,309,303,318,323,321,310,317,303,2819
"Wallingford School District","=""1480011""",6855,6828,6701,6600,6435,6292,6108,6105,6020,57944
"Waterbury School District","=""1510011""",18401,18437,18260,18188,18175,18485,18706,18878,18862,166392
"Waterford School District","=""1520011""",2954,2900,2890,2829,2711,2642,2572,2552,2528,24578
"Watertown School District","=""1530011""",3412,3346,3250,3187,3106,3036,2932,2848,2828,27945
"West Hartford School District","=""1550011""",10045,10129,10237,10269,10147,10078,9919,9794,9757,90375
"West Haven School District","=""1560011""",6490,6313,6303,6266,6131,6079,6010,5940,5842,55374
"Westbrook School District","=""1540011""",985,970,976,950,928,877,839,807,782,8114
"Weston School District","=""1570011""",2591,2586,2572,2541,2490,2428,2421,2413,2408,22450
"Westport School District","=""1580011""",5700,5782,5738,5800,5757,5818,5786,5772,5714,51867
"Wethersfield School District","=""1590011""",3838,3832,3833,3819,3711,3703,3727,3647,3651,33761
"Willington School District","=""1600011""",601,568,545,514,495,480,458,430,435,4526
"Wilton School District","=""1610011""",4384,4396,4358,4340,4336,4312,4299,4272,4173,38870
"Winchester School District","=""1620011""",1073,1004,972,964,709,698,652,609,589,7270
"Windham School District","=""1630011""",3675,3523,3493,3397,3271,3223,3273,3190,3296,30341
"Windsor Locks School District","=""1650011""",1843,1858,1815,1799,1763,1761,1687,1664,1638,15828
"Windsor School District","=""1640011""",4128,4004,3797,3652,3520,3415,3283,3168,3214,32181
"Wolcott School District","=""1660011""",2928,2865,2763,2752,2664,2580,2491,2365,2346,23754
"Woodbridge School District","=""1670011""",788,756,733,723,738,745,770,797,775,6825
"Woodstock Academy District","=""9030022""",1153,1184,1153,1096,1098,1055,1033,1012,1022,9806
"Woodstock School District","=""1690011""",951,930,923,932,894,897,904,873,862,8166
"Total","=""""",574848,571046,567792,564499,558377,554804,549877,546347,541815,5029405

