"Student Counts by District and Year"
"All Districts"
"Trend"

"",,"Year",,,,,,,,,
"District","District Code","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",0,261,440,610,762,824,870,954,1063,5784
"Amistad Academy District","=""2790013""",547,641,744,812,857,904,937,984,1036,7462
"Andover School District","=""0010011""",347,334,336,334,314,315,299,275,250,2804
"Ansonia School District","=""0020011""",2743,2722,2738,2627,2526,2425,2338,2415,2382,22916
"Area Cooperative Educational Services","=""2440014""",2098,2098,2076,1991,1955,1932,1933,1939,1948,17970
"Ashford School District","=""0030011""",505,488,478,479,481,440,424,417,400,4112
"Avon School District","=""0040011""",3612,3569,3598,3564,3518,3421,3387,3332,3285,31286
"Barkhamsted School District","=""0050011""",358,362,367,373,357,349,307,317,286,3076
"Berlin School District","=""0070011""",3275,3223,3169,3129,3027,2985,2963,2909,2879,27559
"Bethany School District","=""0080011""",570,551,516,514,492,473,436,407,383,4342
"Bethel School District","=""0090011""",3157,3087,3053,2949,2982,2987,3000,2939,2971,27125
"Bloomfield School District","=""0110011""",2240,2181,2298,2207,2164,2119,2096,2115,2078,19498
"Bolton School District","=""0120011""",876,869,888,904,897,897,869,847,820,7867
"Booker T. Washington Academy District","=""2950013""",0,0,0,0,0,0,0,91,180,271
"Bozrah School District","=""0130011""",269,261,258,236,236,243,244,211,202,2160
"Branford School District","=""0140011""",3514,3515,3534,3445,3341,3282,3245,3108,3066,30050
"Brass City Charter School District","=""2900013""",0,0,0,0,0,0,115,150,186,451
"Bridgeport Achievement First District","=""2850013""",85,160,238,409,543,702,835,977,1016,4965
"Bridgeport School District","=""0150011""",20958,20596,20307,20457,20367,20338,20929,21244,21191,186387
"Bristol School District","=""0170011""",8980,8866,8753,8666,8523,8365,8268,8233,8170,76824
"Brookfield School District","=""0180011""",2955,2952,2906,2874,2845,2793,2771,2719,2692,25507
"Brooklyn School District","=""0190011""",993,987,972,957,939,948,926,920,908,8550
"Canaan School District","=""0210011""",102,85,95,86,86,75,"*",78,"*",760
"Canterbury School District","=""0220011""",584,605,556,528,520,499,464,477,494,4727
"Canton School District","=""0230011""",1739,1761,1775,1789,1751,1758,1700,1629,1633,15535
"Capital Preparatory Harbor School Inc. District","=""2970013""",0,0,0,0,0,0,0,0,249,249
"Capitol Region Education Council","=""2410014""",2793,3436,3948,4646,5558,6258,7177,8166,8354,50336
"Chaplin School District","=""0240011""",210,178,173,187,182,185,183,178,176,1652
"Charter School for Young Children on Asylum Hill District","=""2870013""",0,136,185,225,0,0,0,0,0,546
"Cheshire School District","=""0250011""",5144,5032,4971,4825,4809,4674,4620,4551,4413,43039
"Chester School District","=""0260011""",341,319,299,275,260,252,228,219,211,2404
"Clinton School District","=""0270011""",2113,2091,2035,2049,2012,1989,1961,1888,1822,17960
"Colchester School District","=""0280011""",3262,3197,3228,3101,3031,2893,2744,2654,2563,26673
"Colebrook School District","=""0290011""",123,116,119,112,99,104,99,91,84,947
"Columbia School District","=""0300011""",593,579,560,545,530,511,474,458,454,4704
"Common Ground High School District","=""2680013""",152,155,160,163,165,169,180,180,186,1510
"Connecticut Technical High School System","=""9000016""",9973,10257,10469,10643,10656,10651,10698,10790,10710,94847
"Cooperative Educational Services","=""2430014""",675,754,778,787,813,838,822,849,869,7185
"Cornwall School District","=""0310011""",129,122,122,115,106,103,105,91,92,985
"Coventry School District","=""0320011""",2016,1962,1920,1844,1796,1735,1693,1651,1634,16251
"Cromwell School District","=""0330011""",2000,2029,2068,2032,2000,1985,1968,1984,1997,18063
"Danbury School District","=""0340011""",10178,10350,10483,10694,10822,10950,10793,10945,11157,96372
"Darien School District","=""0350011""",4662,4732,4791,4855,4833,4880,4929,4932,4884,43498
"Deep River School District","=""0360011""",389,355,351,354,359,350,333,316,306,3113
"Department of Mental Health and Addiction Services","=""3370015""",11,8,"*",6,6,"*","*",7,"*",55
"Derby School District","=""0370011""",1472,1489,1474,1476,1453,1498,1522,1467,1403,13254
"East Granby School District","=""0400011""",914,900,907,893,847,865,874,886,878,7964
"East Haddam School District","=""0410011""",1433,1437,1405,1355,1287,1257,1199,1143,1073,11589
"East Hampton School District","=""0420011""",2087,2064,2034,1978,1952,1898,1877,1835,1893,17618
"East Hartford School District","=""0430011""",7474,7264,7280,7128,7176,7053,7158,7060,6882,64475
"East Haven School District","=""0440011""",3699,3599,3546,3448,3297,3241,3127,3011,3051,30019
"East Lyme School District","=""0450011""",3269,3169,3113,3084,2985,2939,2868,2839,2792,27058
"East Windsor School District","=""0470011""",1494,1452,1397,1345,1298,1276,1216,1138,1105,11721
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",64,147,208,284,295,330,366,411,425,2530
"Eastford School District","=""0390011""",189,187,171,180,176,169,152,139,134,1497
"Easton School District","=""0460011""",1180,1158,1114,1103,1059,1019,962,936,922,9453
"Education Connection","=""2420014""",179,194,200,217,221,249,229,250,227,1966
"Ellington School District","=""0480011""",2612,2645,2675,2734,2755,2721,2664,2658,2633,24097
"Elm City College Preparatory School","=""2810013""",476,509,0,0,0,0,0,0,0,985
"Elm City College Preparatory School District","=""2890013""",0,0,547,585,600,604,624,635,703,4298
"Elm City Montessori School District","=""2910013""",0,0,0,0,0,0,0,70,113,183
"Enfield School District","=""0490011""",6373,6314,6119,5912,5673,5480,5225,5174,5189,51459
"Essex School District","=""0500011""",551,594,593,594,559,530,510,454,420,4805
"Explorations District","=""2720013""",86,85,80,80,74,73,83,88,92,741
"Fairfield School District","=""0510011""",9797,9975,10134,10207,10335,10327,10288,10213,10091,91367
"Farmington School District","=""0520011""",4209,4206,4169,4151,4069,4071,4036,4020,4096,37027
"Franklin School District","=""0530011""",235,226,225,224,206,204,185,170,170,1845
"Glastonbury School District","=""0540011""",6882,6883,6846,6841,6721,6606,6410,6148,6069,59406
"Granby School District","=""0560011""",2339,2281,2294,2253,2171,2112,2065,1970,1961,19446
"Great Oaks Charter School District","=""2940013""",0,0,0,0,0,0,0,127,226,353
"Greenwich School District","=""0570011""",9014,8893,8863,8873,8822,8871,8786,8813,8825,79760
"Griswold School District","=""0580011""",2146,2123,2068,2013,1974,1975,1981,1897,1891,18068
"Groton School District","=""0590011""",5198,5172,5063,4997,4990,4811,4702,4565,4519,44017
"Guilford School District","=""0600011""",3839,3796,3736,3702,3684,3597,3540,3427,3419,32740
"Hamden School District","=""0620011""",6306,6118,5997,6044,5897,5841,5811,5680,5547,53241
"Hampton School District","=""0630011""",166,149,143,140,126,116,111,105,101,1157
"Hartford School District","=""0640011""",22679,21956,21552,21365,21297,21965,21820,21953,21463,196050
"Hartland School District","=""0650011""",236,239,229,225,227,215,205,203,188,1967
"Hebron School District","=""0670011""",1206,1173,1172,1136,1048,938,868,786,732,9059
"Highville Charter School District","=""2860013""",277,300,303,300,337,341,361,403,462,3084
"Integrated Day Charter School District","=""2640013""",330,330,330,331,330,330,330,331,331,2973
"Interdistrict School for Arts and Comm District","=""2650013""",181,182,182,182,191,191,246,262,271,1888
"Jumoke Academy District","=""2610013""",369,412,434,432,488,589,704,716,734,4878
"Kent School District","=""0680011""",257,284,282,287,278,271,272,258,237,2426
"Killingly School District","=""0690011""",2735,2724,2708,2711,2704,2716,2671,2576,2596,24141
"Learn","=""2450014""",1077,1037,1121,1295,1514,1728,2137,2270,2373,14552
"Lebanon School District","=""0710011""",1530,1547,1457,1412,1293,1238,1158,1105,1054,11794
"Ledyard School District","=""0720011""",2905,2761,2682,2643,2604,2616,2580,2540,2445,23776
"Lisbon School District","=""0730011""",579,564,569,535,481,448,402,403,392,4373
"Litchfield School District","=""0740011""",1215,1203,1207,1176,1133,1040,992,983,971,9920
"Madison School District","=""0760011""",3796,3740,3695,3630,3465,3390,3297,3171,3027,31211
"Manchester School District","=""0770011""",6913,6936,6941,6862,6454,6275,6256,6267,6243,59147
"Mansfield School District","=""0780011""",1307,1285,1275,1331,1329,1321,1249,1242,1251,11590
"Marlborough School District","=""0790011""",663,676,669,675,672,639,605,600,556,5755
"Meriden School District","=""0800011""",8908,8719,8463,8406,8342,8260,8183,8100,7993,75374
"Middletown School District","=""0830011""",5088,5189,5239,5251,5106,4948,4847,4793,4701,45162
"Milford School District","=""0840011""",7400,7326,7147,6988,6836,6670,6434,6278,6152,61231
"Monroe School District","=""0850011""",4226,4050,3899,3761,3589,3488,3379,3299,3180,32871
"Montville School District","=""0860011""",2871,2784,2698,2670,2575,2455,2418,2356,2256,23083
"Naugatuck School District","=""0880011""",4931,4832,4893,4674,4535,4490,4356,4316,4246,41273
"New Beginnings Inc., Family Academy District","=""2800013""",362,358,360,360,361,399,402,473,499,3574
"New Britain School District","=""0890011""",10719,10496,10318,10222,10268,10322,10136,10101,10071,92653
"New Canaan School District","=""0900011""",4130,4104,4091,4143,4173,4223,4192,4213,4227,37496
"New Fairfield School District","=""0910011""",3048,3056,3031,2920,2878,2805,2730,2662,2497,25627
"New Hartford School District","=""0920011""",618,620,632,610,583,567,545,506,470,5151
"New Haven School District","=""0930011""",19981,19848,19947,20194,20648,21246,21420,21711,21725,186720
"New London School District","=""0950011""",2933,3105,3020,3106,2998,3107,3115,3253,3381,28018
"New Milford School District","=""0960011""",5034,4922,4883,4773,4688,4620,4504,4362,4245,42031
"Newington School District","=""0940011""",4566,4533,4492,4447,4378,4343,4244,4127,4060,39190
"Newtown School District","=""0970011""",5663,5612,5510,5464,5316,5159,4920,4767,4588,46999
